V0000330143	それはとってもいい話だ。	それ	それはとってもいい 話[はなし]だ。	
V0000334957	あなたと問答している暇はないの。	問答	あなたと 問答[もんどう]している 暇[ひま]はないの。	
V0000334958	朝食はちゃんと食べましたか。	ちゃんと	朝食[ちょうしょく]はちゃんと 食[た]べましたか。	
V0000334959	警察は犯人を特定したらしいよ。	特定	警察[けいさつ]は 犯人[はんにん]を 特定[とくてい]したらしいよ。	
V0000334960	その学校の教育は特色がありますね。	特色	その 学校[がっこう]の 教育[きょういく]は 特色[とくしょく]がありますね。	
V0000334961	これは子供に特有の病気です。	特有	これは 子供[こども]に 特有[とくゆう]の 病気[びょうき]です。	
V0000334962	私は別に気になりません。	別に	私[わたし]は 別[べつ]に 気[き]になりません。	
V0000334963	別れはいつでも悲しいものです。	別れ	別[わか]れはいつでも 悲[かな]しいものです。	
V0000334964	私の田舎はのどかな所です。	のどか	私[わたし]の 田舎[いなか]はのどかな 所[ところ]です。	
V0000334965	送別の辞は誰に頼みましょうか。	送別	送別[そうべつ]の 辞[じ]は 誰[だれ]に 頼[たの]みましょうか。	
V0000334966	来週、課長の送別会を開きます。	送別会	来週[らいしゅう]、 課長[かちょう]の 送別会[そうべつかい]を 開[ひら]きます。	
V0000334967	教授はフランス文学の専門家。	専門家	教授[きょうじゅ]はフランス 文学[ぶんがく]の 専門家[せんもんか]。	
V0000334968	法律は私の専門です。	専門	法律[ほうりつ]は 私[わたし]の 専門[せんもん]です。	
V0000334969	これは女性専用の車両です。	専用	これは 女性[じょせい] 専用[せんよう]の 車両[しゃりょう]です。	
V0000334970	このメロディーは聞いたことがある。	メロディー	このメロディーは 聞[き]いたことがある。	
V0000334971	彼は植物全般に詳しいね。	全般	彼[かれ]は 植物[しょくぶつ] 全般[ぜんぱん]に 詳[くわ]しいね。	
V0000334972	彼は絵を本格的に勉強しているんだ。	本格的	彼[かれ]は 絵[え]を 本格的[ほんかくてき]に 勉強[べんきょう]しているんだ。	
V0000334973	彼が全面的に協力してくれるそうです。	全面的	彼[かれ]が 全面的[ぜんめんてき]に 協力[きょうりょく]してくれるそうです。	
V0000334974	彼は論理的な人です。	論理的	彼[かれ]は 論理的[ろんりてき]な 人[ひと]です。	
V0000334975	彼はすごく知的な人です。	知的	彼[かれ]はすごく 知的[ちてき]な 人[ひと]です。	
V0000334976	やっと目的地に着いたよ。	目的地	やっと 目的地[もくてきち]に 着[つ]いたよ。	
V0000334977	今日は水を2リットル以上飲んだわ。	リットル	今日[きょう]は 水[みず]を2リットル 以上飲[いじょう の]んだわ。	
V0000334978	この国は文化的な事業に力を入れています。	文化的	この 国[くに]は 文化的[ぶんかてき]な 事業[じぎょう]に 力[ちから]を 入[い]れています。	
V0000334979	彼はとても男性的な人です。	男性的	彼[かれ]はとても 男性的[だんせいてき]な 人[ひと]です。	
P0000146990	私は普段は
P0000146990	シャツとジーンズを着ています。	普段	私[わたし]は 普段[ふだん]は 
P0000146990	[てぃー]シャツとジーンズを 着[き]ています。	
V0000334980	彼は並みの人間ではありません。	並み	彼[かれ]は 並[な]みの 人間[にんげん]ではありません。	
V0000334981	駅前の並木が台風で倒れたらしい。	並木	駅前[えきまえ]の 並木[なみき]が 台風[たいふう]で 倒[たお]れたらしい。	
V0000334982	彼はわざと負けたように見えたな。	わざと	彼[かれ]はわざと 負[ま]けたように 見[み]えたな。	
V0000334983	このメガネをかけると平面が立体に見えます。	平面	このメガネをかけると 平面[へいめん]が 立体[りったい]に 見[み]えます。	
V0000334984	彼女は平気な顔をしていた。	平気	彼女[かのじょ]は 平気[へいき]な 顔[かお]をしていた。	
V0000334985	その建物の屋根は平らだね。	平ら	その 建物[たてもの]の 屋根[やね]は 平[たい]らだね。	
V0000334986	平行に線を引いてください。	平行	平行[へいこう]に 線[せん]を 引[ひ]いてください。	
V0000334987	私はいつも同僚の不平を聞いているんだ。	不平	私[わたし]はいつも 同僚[どうりょう]の 不平[ふへい]を 聞[き]いているんだ。	
V0000334988	彼ならとっくに帰りましたよ。	とっくに	彼[かれ]ならとっくに 帰[かえ]りましたよ。	
V0000334989	地平線に夕日が沈むところだったの。	地平線	地平線[ちへいせん]に 夕日[ゆうひ]が 沈[しず]むところだったの。	
V0000334990	広い平野が一面雪で真っ白でした。	平野	広[ひろ]い 平野[へいや]が 一面雪[いちめん ゆき]で 真[ま]っ 白[しろ]でした。	
V0000334991	平たいお皿を一枚取って。	平たい	平[ひら]たいお 皿[さら]を 一枚取[いちまい と]って。	
P0000146991	この土地の面積は約100平方メートルです。	平方	この 土地[とち]の 面積[めんせき]は 約100[やく 
P0000146991	平方[へいほう]メートルです。	
V0000334992	彼は平日がお休みです。	平日	彼[かれ]は 平日[へいじつ]がお 休[やす]みです。	
V0000334993	私はベストを尽くしました。	ベスト	私[わたし]はベストを 尽[つ]くしました。	
V0000334994	平均で一日に8時間ぐらい働いています。	平均	平均[へいきん]で 一日[いちにち]に8 時間[じかん]ぐらい 働[はたら]いています。	
V0000334995	私は株の知識がないに等しいです。	等しい	私[わたし]は 株[かぶ]の 知識[ちしき]がないに 等[ひと]しいです。	
V0000334996	あの先生は生徒をみな平等に扱います。	平等	あの 先生[せんせい]は 生徒[せいと]をみな 平等[びょうどう]に 扱[あつか]います。	
V0000334997	彼には大学生と同等の学力があります。	同等	彼[かれ]には 大学生[だいがくせい]と 同等[どうとう]の 学力[がくりょく]があります。	
V0000334998	その子供は大人と対等に話していたよ。	対等	その 子供[こども]は 大人[おとな]と 対等[たいとう]に 話[はな]していたよ。	
V0000334999	職場での男女不平等はよく見られるね。	不平等	職場[しょくば]での 男女[だんじょ] 不平等[ふびょうどう]はよく 見[み]られるね。	
V0000335000	彼女は白いワンピースを着ていたよ。	ワンピース	彼女[かのじょ]は 白[しろ]いワンピースを 着[き]ていたよ。	
V0000335001	その病室はとても広くてきれいだった。	病室	その 病室[びょうしつ]はとても 広[ひろ]くてきれいだった。	
V0000335002	病人が出たので電車が少し止まったんだ。	病人	病人[びょうにん]が 出[で]たので 電車[でんしゃ]が 少[すこ]し 止[と]まったんだ。	
V0000335003	内科で胃の調子を診てもらったよ。	内科	内科[ないか]で 胃[い]の 調子[ちょうし]を 診[み]てもらったよ。	
V0000335004	学生たちは授業についていくのに必死です。	必死	学生[がくせい]たちは 授業[じゅぎょう]についていくのに 必死[ひっし]です。	
V0000335005	その作家は35歳という若さで病死した。	病死	その 作家[さっか]は35 歳[さい]という 若[わか]さで 病死[びょうし]した。	
V0000335006	ダイヤモンドはとても高価ですね。	ダイヤモンド	ダイヤモンドはとても 高価[こうか]ですね。	
V0000335007	必死に単語を暗記したよ。	必死に	必死[ひっし]に 単語[たんご]を 暗記[あんき]したよ。	
V0000335008	昨年、友人を亡くしました。	亡くす	昨年[さくねん]、 友人[ゆうじん]を 亡[な]くしました。	
V0000335009	彼女は多忙な人です。	多忙	彼女[かのじょ]は 多忙[たぼう]な 人[ひと]です。	
V0000335010	最近疲れがたまっています。	疲れ	最近[さいきん] 疲[つか]れがたまっています。	
V0000335011	ここは立ち入り禁止です。	立ち入り禁止	ここは 立[た]ち 入[い]り 禁止[きんし]です。	
V0000335012	その車のナンバーを覚えていますか。	ナンバー	その 車[くるま]のナンバーを 覚[おぼ]えていますか。	
V0000335013	珍しい日本酒が手に入りました。	日本酒	珍[めずら]しい 日本酒[にほんしゅ]が 手[て]に 入[はい]りました。	
V0000335014	みんなかなり酔っていたの。	酔う	みんなかなり 酔[よ]っていたの。	
V0000335015	彼女は若さを保とうと必死だ。	保つ	彼女[かのじょ]は 若[わか]さを 保[たも]とうと 必死[ひっし]だ。	
V0000335016	あなたは保険に加入していますか。	保険	あなたは 保険[ほけん]に 加入[かにゅう]していますか。	
V0000335017	この製品の保証期間は5年間となっております。	保証	この 製品[せいひん]の 保証[ほしょう] 期間[きかん]は5 年間[ねん かん]となっております。	
V0000335018	彼が私の保証人になってくれました。	保証人	彼[かれ]が 私[わたし]の 保証人[ほしょうにん]になってくれました。	
V0000335019	とうとう引っ越しの日がきました。	とうとう	とうとう 引[ひ]っ 越[こ]しの 日[ひ]がきました。	
V0000335020	データを30分おきに保存してください。	保存	データを30 分[ぷん]おきに 保存[ほぞん]してください。	
V0000335021	郵便局はどこかご存じですか。	存じる	郵便局[ゆうびんきょく]はどこかご 存[ぞん]じですか。	
V0000335022	みんなのグラスにジュースを注いだよ。	注ぐ	みんなのグラスにジュースを 注[そそ]いだよ。	
V0000335023	詳しくは注を読んでください。	注	詳[くわ]しくは 注[ちゅう]を 読[よ]んでください。	
V0000335024	彼の意見には同意できません。	同意	彼[かれ]の 意見[いけん]には 同意[どうい]できません。	
V0000335025	仕事中に帰るなんてとんでもない。	とんでもない	仕事中[しごとちゅう]に 帰[かえ]るなんてとんでもない。	
V0000335026	そんなことをしても無意味よ。	無意味	そんなことをしても 無意味[むいみ]よ。	
V0000335027	その事故は運転手の不注意が原因で起きたの。	不注意	その 事故[じこ]は 運転手[うんてんしゅ]の 不注意[ふちゅうい]が 原因[げんいん]で 起[お]きたの。	
V0000335028	あの子は生意気だと思います。	生意気	あの 子[こ]は 生意気[なまいき]だと 思[おも]います。	
V0000335029	母はお釣りを確かめたの。	確かめる	母[はは]はお 釣[つ]りを 確[たし]かめたの。	
V0000335030	彼女には明確な目標があるね。	明確	彼女[かのじょ]には 明確[めいかく]な 目標[もくひょう]があるね。	
V0000335031	彼らはにこやかに挨拶を交わしたけどね。	にこやか	彼[かれ]らはにこやかに 挨拶[あいさつ]を 交[か]わしたけどね。	
V0000335032	人の記憶は不確かよ。	不確か	人[ひと]の 記憶[きおく]は 不確[ふたし]かよ。	
V0000335033	この薬はまだ認可されていません。	認可	この 薬[くすり]はまだ 認可[にんか]されていません。	
V0000335034	父が彼女との結婚を認めてくれました。	認める	父[ちち]が 彼女[かのじょ]との 結婚[けっこん]を 認[みと]めてくれました。	
P0000146992	その手術の成功率は90
P0000146992	だそうです。	率	その 手術[しゅじゅつ]の 成功[せいこう] 率[りつ]は90
P0000146992	だそうです。	
V0000335035	率直なご意見ありがとうございました。	率直	率直[そっちょく]なご 意見[いけん]ありがとうございました。	
V0000335036	この方法だと能率がいいですね。	能率	この 方法[ほうほう]だと 能率[のうりつ]がいいですね。	
V0000335037	荷物を駅のロッカーに入れた。	ロッカー	荷物[にもつ]を 駅[えき]のロッカーに 入[い]れた。	
V0000335038	旅客機が墜落したよ。	旅客機	旅客機[りょかくき]が 墜落[ついらく]したよ。	
V0000335039	妹は不器用で、料理も苦手なの。	不器用	妹[いもうと]は 不器用[ぶきよう]で、 料理[りょうり]も 苦手[にがて]なの。	
V0000335040	道具は全部揃っていますか。	道具	道具[どうぐ]は 全部揃[ぜんぶ そろ]っていますか。	
V0000335041	旅行には予備の靴を持って行きます。	予備	旅行[りょこう]には 予備[よび]の 靴[くつ]を 持[も]って 行[い]きます。	
V0000335042	彼は非暴力を説きました。	説く	彼[かれ]は 非暴力[ひぼうりょく]を 説[と]きました。	
V0000335043	彼はプライドが高い人です。	プライド	彼[かれ]はプライドが 高[たか]い 人[ひと]です。	
V0000335044	彼のやり方は不公平です。	不公平	彼[かれ]のやり 方[かた]は 不公平[ふこうへい]です。	
V0000335045	この遊園地のチケットは3000円です。	遊園地	この 遊園地[ゆうえんち]のチケットは 3000円[さんぜんえん]です。	
V0000335046	娘を保育園に迎えに行きます。	保育園	娘[むすめ]を 保育園[ほいくえん]に 迎[むか]えに 行[い]きます。	
V0000335047	彼は道路に飛び出したの。	飛び出す	彼[かれ]は 道路[どうろ]に 飛[と]び 出[だ]したの。	
V0000335048	子供が紙飛行機を飛ばしています。	飛ばす	子供[こども]が 紙飛行機[かみひこうき]を 飛[と]ばしています。	
V0000335049	ママに聞いてみよう。	ママ	ママに 聞[き]いてみよう。	
V0000335050	大きな音にびっくりして飛び上がりました。	飛び上がる	大[おお]きな 音[おと]にびっくりして 飛[と]び 上[あ]がりました。	
V0000335051	猫が屋根から飛び下りました。	飛び下りる	猫[ねこ]が 屋根[やね]から 飛[と]び 下[お]りました。	
V0000335052	カエルが池に飛び込んだね。	飛び込む	カエルが 池[いけ]に 飛[と]び 込[こ]んだね。	
P0000146993	このフライトの飛行時間は約3時間です。	飛行	このフライトの 飛行[ひこう] 時間[じかん]は 約3時間[やく 
P0000146993	じかん]です。	
V0000335053	私がこの船の船長です。	船長	私[わたし]がこの 船[ふね]の 船長[せんちょう]です。	
V0000335054	椅子の荷物をよけて座ったけど。	よける	椅子[いす]の 荷物[にもつ]をよけて 座[すわ]ったけど。	
V0000335055	子供が風船を膨らませているね。	風船	子供[こども]が 風船[ふうせん]を 膨[ふく]らませているね。	
V0000335056	台風がその半島を通過したの。	半島	台風[たいふう]がその 半島[はんとう]を 通過[つうか]したの。	
V0000335057	私たちはハワイのマウイ島に旅行したの。	島	私[わたし]たちはハワイのマウイ 島[とう]に 旅行[りょこう]したの。	
V0000335058	このデータはまだ不完全ね。	不完全	このデータはまだ 不完全[ふかんぜん]ね。	
V0000335059	彼は今月の売上目標を達成した。	達成	彼[かれ]は 今月[こんげつ]の 売上目標[うりあげ もくひょう]を 達成[たっせい]した。	
V0000335060	この島は観光で成り立っています。	成り立つ	この 島[しま]は 観光[かんこう]で 成[な]り 立[た]っています。	
V0000335061	彼は弁護士バッジを付けていたよ。	バッジ	彼[かれ]は 弁護士[べんごし]バッジを 付[つ]けていたよ。	
V0000335062	未成年はお酒を飲めません。	未成年	未成年[みせいねん]はお 酒[さけ]を 飲[の]めません。	
V0000335063	私のチームは1回戦で敗れたよ。	敗れる	私[わたし]のチームは1 回戦[かいせん]で 敗[やぶ]れたよ。	
V0000335064	私たちは野原で花をつんだの。	野原	私[わたし]たちは 野原[のはら]で 花[はな]をつんだの。	
V0000335065	クローバーの原でピクニックをしたよ。	原	クローバーの 原[はら]でピクニックをしたよ。	
V0000335066	私たちはがんの要因を研究しています。	要因	私[わたし]たちはがんの 要因[よういん]を 研究[けんきゅう]しています。	
V0000335067	彼女はいつも髪をピンで留めているね。	ピン	彼女[かのじょ]はいつも 髪[かみ]をピンで 留[と]めているね。	
V0000335068	彼の病気は過労に因るものです。	因る	彼[かれ]の 病気[びょうき]は 過労[かろう]に 因[よ]るものです。	
V0000335069	被災地に物資を送ったよ。	物資	被災地[ひさいち]に 物資[ぶっし]を 送[おく]ったよ。	
V0000335070	世界の平和が私たちの願いです。	願い	世界[せかい]の 平和[へいわ]が 私[わたし]たちの 願[ねが]いです。	
V0000335071	試験で不正が見つかったよ。	不正	試験[しけん]で 不正[ふせい]が 見[み]つかったよ。	
V0000335072	祖母は大正生まれです。	大正	祖母[そぼ]は 大正[たいしょう] 生[う]まれです。	
V0000335073	まあこれでいいだろう。	まあ	まあこれでいいだろう。	
V0000335074	彼は正に英雄ね。	正に	彼[かれ]は 正[まさ]に 英雄[えいゆう]ね。	
V0000335075	彼は常に姿勢がいい。	常に	彼[かれ]は 常[つね]に 姿勢[しせい]がいい。	
V0000335076	音楽は私の日常の一部です。	日常	音楽[おんがく]は 私[わたし]の 日常[にちじょう]の 一部[いちぶ]です。	
V0000335077	私は旅行から多くの知識を得た。	知識	私[わたし]は 旅行[りょこう]から 多[おお]くの 知識[ちしき]を 得[え]た。	
V0000335078	その件は終わったと認識しています。	認識	その 件[けん]は 終[お]わったと 認識[にんしき]しています。	
V0000335079	私は無意識に彼を傷つけてしまった。	無意識	私[わたし]は 無意識[むいしき]に 彼[かれ]を 傷[きず]つけてしまった。	
V0000335080	愛がなければ人生はむなしいよ。	むなしい	愛[あい]がなければ 人生[じんせい]はむなしいよ。	
V0000335081	国民は総理大臣を非難しているね。	非難	国民[こくみん]は 総理大臣[そうり だいじん]を 非難[ひなん]しているね。	
V0000335082	非常事態です。	非常	非常[ひじょう] 事態[じたい]です。	
V0000335083	彼は非常識な時間に電話してきたの。	非常識	彼[かれ]は 非常識[ひじょうしき]な 時間[じかん]に 電話[でんわ]してきたの。	
V0000335084	ビルの非常口を確認したの。	非常口	ビルの 非常口[ひじょうぐち]を 確認[かくにん]したの。	
V0000335085	体の調子がとても良いです。	調子	体[からだ]の 調子[ちょうし]がとても 良[い]いです。	
V0000335086	ついでだから彼も呼ぼうよ。	ついで	ついでだから 彼[かれ]も 呼[よ]ぼうよ。	
V0000335087	彼女は自然と調和した暮らし方をしているの。	調和	彼女[かのじょ]は 自然[しぜん]と 調和[ちょうわ]した 暮[く]らし 方[かた]をしているの。	
V0000335088	今日は体調が悪いです。	体調	今日[きょう]は 体調[たいちょう]が 悪[わる]いです。	
V0000335089	この曲は単調でつまらないな。	単調	この 曲[きょく]は 単調[たんちょう]でつまらないな。	
V0000335090	塩、コショウはよく使われる調味料です。	調味料	塩[しお]、コショウはよく 使[つか]われる 調味料[ちょうみりょう]です。	
V0000335091	今、スケジュールの調整をしています。	調整	今[いま]、スケジュールの 調整[ちょうせい]をしています。	
V0000335092	バケツに水を汲んできてください。	バケツ	バケツに 水[みず]を 汲[く]んできてください。	
V0000335093	彼はスピーチの前に服装を整えた。	整える	彼[かれ]はスピーチの 前[まえ]に 服装[ふくそう]を 整[ととの]えた。	
V0000335094	パーティーの準備が整いました。	整う	パーティーの 準備[じゅんび]が 整[ととの]いました。	
V0000335095	ここで部屋の温度が調節できます。	調節	ここで 部屋[へや]の 温度[おんど]が 調節[ちょうせつ]できます。	
P0000146994	課題は7月5日までに提出してください。	提出	課題[かだい]は7 月5日[がつ 
P0000146994	か]までに 提出[ていしゅつ]してください。	
V0000335096	交渉が成立するという前提で話を進めます。	前提	交渉[こうしょう]が 成立[せいりつ]するという 前提[ぜんてい]で 話[はなし]を 進[すす]めます。	
V0000335097	今から答案を集めます。	答案	今[いま]から 答案[とうあん]を 集[あつ]めます。	
V0000335098	彼女の美しさにはっとしたよ。	はっと	彼女[かのじょ]の 美[うつく]しさにはっとしたよ。	
V0000335099	私は朝早く投票を済ませました。	投票	私[わたし]は 朝早[あさ はや]く 投票[とうひょう]を 済[す]ませました。	
V0000335100	私は父を目標にしています。	目標	私[わたし]は 父[ちち]を 目標[もくひょう]にしています。	
V0000335101	ニュースでは標準語が使われるの。	標準	ニュースでは 標準[ひょうじゅん] 語[ご]が 使[つか]われるの。	
V0000335102	親が君を一度連れて来いって言うんだ。	連れる	親[おや]が 君[きみ]を 一度[いちど] 連[つ]れて 来[こ]いって 言[い]うんだ。	
V0000335103	展覧会は連日賑わいました。	連日	展覧会[てんらんかい]は 連日[れんじつ] 賑[にぎ]わいました。	
V0000335104	彼女の運転がまずくて、はらはらした。	まずい	彼女[かのじょ]の 運転[うんてん]がまずくて、はらはらした。	
V0000335105	今度の連休は実家に帰ります。	連休	今度[こんど]の 連休[れんきゅう]は 実家[じっか]に 帰[かえ]ります。	
V0000335106	彼女は私の連れです。	連れ	彼女[かのじょ]は 私[わたし]の 連[つ]れです。	
V0000335107	仕事が終わったら連絡します。	連絡	仕事[しごと]が 終[お]わったら 連絡[れんらく]します。	
V0000335108	入国手続きが終わりました。	手続き	入国[にゅうこく] 手続[てつづ]きが 終[お]わりました。	
V0000335109	彼女の人生は苦労の連続でした。	連続	彼女[かのじょ]の 人生[じんせい]は 苦労[くろう]の 連続[れんぞく]でした。	
V0000335110	もしも彼女と結婚できたらどんなに嬉しいだろう。	もしも	もしも 彼女[かのじょ]と 結婚[けっこん]できたらどんなに 嬉[うれ]しいだろう。	
V0000335111	お客さんが続々とやって来ましたよ。	続々	お 客[きゃく]さんが 続々[ぞくぞく]とやって 来[き]ましたよ。	
V0000335112	話の続きは電話でしましょう。	続き	話[はなし]の 続[つづ]きは 電話[でんわ]でしましょう。	
V0000335113	彼は仕事が長続きしません。	長続き	彼[かれ]は 仕事[しごと]が 長続[ながつづ]きしません。	
V0000335114	この辺りの家賃の相場はいくらですか。	相場	この 辺[あた]りの 家賃[やちん]の 相場[そうば]はいくらですか。	
V0000335115	1ポンドは454グラムに相当します。	相当	1[いち]ポンドは454グラムに 相当[そうとう]します。	
V0000335116	スピーカーの音がやかましいな。	やかましい	スピーカーの 音[おと]がやかましいな。	
V0000335117	その場に相応しい服装で来てください。	相応しい	その 場[ば]に 相応[ふさわ]しい 服装[ふくそう]で 来[き]てください。	
V0000335118	雑誌にその女優の対談が載っていたよ。	対談	雑誌[ざっし]にその 女優[じょゆう]の 対談[たいだん]が 載[の]っていたよ。	
V0000335119	好きな番組を録画したの。	録画	好[す]きな 番組[ばんぐみ]を 録画[ろくが]したの。	
V0000335120	インタビューはこの録音テープに入っています。	録音テープ	インタビューはこの 録音[ろくおん]テープに 入[はい]っています。	
V0000335121	彼女の登場で会場は盛り上がったね。	登場	彼女[かのじょ]の 登場[とうじょう]で 会場[かいじょう]は 盛[も]り 上[あ]がったね。	
V0000335122	心理学の授業に登録しましたか。	登録	心理学[しんりがく]の 授業[じゅぎょう]に 登録[とうろく]しましたか。	
V0000335123	このバットは金属で出来ています。	バット	このバットは 金属[きんぞく]で 出来[でき]ています。	
V0000335124	夏休みには家族で登山をします。	登山	夏休[なつやす]みには 家族[かぞく]で 登山[とざん]をします。	
P0000146995	生徒たちは朝8時ごろ登校します。	登校	生徒[せいと]たちは 朝8時[あさ 
P0000146995	じ]ごろ 登校[とうこう]します。	
V0000335125	明日は友達と山登りに行きます。	山登り	明日[あした]は 友達[ともだち]と 山登[やまのぼ]りに 行[い]きます。	
V0000335126	彼女は政治に無関心です。	無関心	彼女[かのじょ]は 政治[せいじ]に 無関心[むかんしん]です。	
V0000335127	彼はこの事件と無関係です。	無関係	彼[かれ]はこの 事件[じけん]と 無関係[むかんけい]です。	
V0000335128	食事のマナーを守りましょう。	マナー	食事[しょくじ]のマナーを 守[まも]りましょう。	
V0000335129	不況の影響で仕事が少ないね。	不況	不況[ふきょう]の 影響[えいきょう]で 仕事[しごと]が 少[すく]ないね。	
V0000335130	あの男の態度にみんなあきれてたよ。	態度	あの 男[おとこ]の 態度[たいど]にみんなあきれてたよ。	
V0000335131	祖父は明治の生まれです。	明治	祖父[そふ]は 明治[めいじ]の 生[う]まれです。	
V0000335132	彼は大阪府に住んでいます。	府	彼[かれ]は 大阪[おおさか] 府[ふ]に 住[す]んでいます。	
V0000335133	彼女は府立大学に通っています。	府立	彼女[かのじょ]は 府立[ふりつ] 大学[だいがく]に 通[かよ]っています。	
V0000335134	生徒たちはばらばらに帰宅したね。	ばらばら	生徒[せいと]たちはばらばらに 帰宅[きたく]したね。	
V0000335135	野党が与党を厳しく非難していましたね。	野党	野党[やとう]が 与党[よとう]を 厳[きび]しく 非難[ひなん]していましたね。	
V0000335136	彼は選挙に当選しました。	当選	彼[かれ]は 選挙[せんきょ]に 当選[とうせん]しました。	
V0000335137	彼の絵がコンクールに入選した。	入選	彼[かれ]の 絵[え]がコンクールに 入選[にゅうせん]した。	
V0000335138	この5種類から選択できます。	選択	この5 種類[しゅるい]から 選択[せんたく]できます。	
V0000335139	ここは天候の変化が激しいですね。	天候	ここは 天候[てんこう]の 変化[へんか]が 激[はげ]しいですね。	
V0000335140	手首の関節をひねっちゃった。	手首	手首[てくび]の 関節[かんせつ]をひねっちゃった。	
V0000335141	プラットホームで電車が来るのを待ったの。	プラットホーム	プラットホームで 電車[でんしゃ]が 来[く]るのを 待[ま]ったの。	
V0000335142	そのクイズ番組は脳を刺激するね。	脳	そのクイズ 番組[ばんぐみ]は 脳[のう]を 刺激[しげき]するね。	
V0000335143	彼は受験のことで悩んでいます。	悩む	彼[かれ]は 受験[じゅけん]のことで 悩[なや]んでいます。	
V0000335144	彼は大きな悩みを抱えていました。	悩み	彼[かれ]は 大[おお]きな 悩[なや]みを 抱[かか]えていました。	
V0000335145	先頭の人はプラカードを持ってください。	先頭	先頭[せんとう]の 人[ひと]はプラカードを 持[も]ってください。	
V0000335146	急に出張を命じられました。	命じる	急[きゅう]に 出張[しゅっちょう]を 命[めい]じられました。	
V0000335147	まぐろの刺身を食べました。	まぐろ	まぐろの 刺身[さしみ]を 食[た]べました。	
V0000335148	ここから先は隣の国の領土です。	領土	ここから 先[さき]は 隣[となり]の 国[くに]の 領土[りょうど]です。	
V0000335149	彼はアメリカ領事館に出かけたよ。	領事館	彼[かれ]はアメリカ 領事館[りょうじかん]に 出[で]かけたよ。	
V0000335150	領収書をください。	領収書	領収書[りょうしゅうしょ]をください。	
V0000335151	彼女はスペイン語に取り組んでいます。	取り組む	彼女[かのじょ]はスペイン 語[ご]に 取[と]り 組[く]んでいます。	
V0000335152	この仕事は君に任せる。	任せる	この 仕事[しごと]は 君[きみ]に 任[まか]せる。	
V0000335153	ゆうべはろくに寝ていない。	ろくに	ゆうべはろくに 寝[ね]ていない。	
V0000335154	私は3年生のクラスを担任しています。	担任	私[わたし]は3 年生[ねんせい]のクラスを 担任[たんにん]しています。	
V0000335155	無責任な行動は許されません。	無責任	無責任[むせきにん]な 行動[こうどう]は 許[ゆる]されません。	
V0000335156	彼は大阪に転勤しました。	転勤	彼[かれ]は 大阪[おおさか]に 転勤[てんきん]しました。	
V0000335157	私の勤め先にご連絡ください。	勤め先	私[わたし]の 勤[つと]め 先[さき]にご 連絡[れんらく]ください。	
V0000335158	来月で勤めをやめます。	勤め	来月[らいげつ]で 勤[つと]めをやめます。	
V0000335159	私が司会を務めます。	務める	私[わたし]が 司会[しかい]を 務[つと]めます。	
V0000335160	お菓子でもつまんでください。	つまむ	お 菓子[かし]でもつまんでください。	
V0000335161	彼は最後まで自分の任務を果たした。	任務	彼[かれ]は 最後[さいご]まで 自分[じぶん]の 任務[にんむ]を 果[は]たした。	
V0000335162	人々を守るのが私の務めです。	務め	人々[ひとびと]を 守[まも]るのが 私[わたし]の 務[つと]めです。	
V0000335163	新しい社員を雇いました。	雇う	新[あたら]しい 社員[しゃいん]を 雇[やと]いました。	
V0000335164	私の会社で社員を募集しています。	募集	私[わたし]の 会社[かいしゃ]で 社員[しゃいん]を 募集[ぼしゅう]しています。	
V0000335165	この山ではきのこが採れますよ	採る	この 山[やま]ではきのこが 採[と]れますよ	
V0000335166	ボーイに荷物を運んでもらった。	ボーイ	ボーイに 荷物[にもつ]を 運[はこ]んでもらった。	
V0000335167	今年から新しい仕事に就きます。	就く	今年[ことし]から 新[あたら]しい 仕事[しごと]に 就[つ]きます。	
V0000335168	私は今月一杯で退職します。	退職	私[わたし]は 今月一杯[こんげつ いっぱい]で 退職[たいしょく]します。	
V0000335169	弟は高校を退学しました。	退学	弟[おとうと]は 高校[こうこう]を 退学[たいがく]しました。	
V0000335170	具合が悪かったので仕事を早退しました。	早退	具合[ぐあい]が 悪[わる]かったので 仕事[しごと]を 早退[そうたい]しました。	
V0000335171	彼には理屈が通じない。	理屈	彼[かれ]には 理屈[りくつ]が 通[つう]じない。	
V0000335172	コーヒーをホットでください。	ホット	コーヒーをホットでください。	
V0000335173	校長の退屈な話が続いたんだよ。	退屈	校長[こうちょう]の 退屈[たいくつ]な 話[はなし]が 続[つづ]いたんだよ。	
V0000335174	用件をメモしておきました。	用件	用件[ようけん]をメモしておきました。	
V0000335175	さあ、参りましょうか。	参る	さあ、 参[まい]りましょうか。	
V0000335176	彼は惨めな気持ちになったの。	惨め	彼[かれ]は 惨[みじ]めな 気持[きも]ちになったの。	
V0000335177	オーダーを追加しました。	追加	オーダーを 追加[ついか]しました。	
V0000335178	これでもないよりましだ。	まし	これでもないよりましだ。	
P0000146996	業界は女性の比率が低い。	比率	
P0000146996	業界[あいてぃーぎょうかい]は 女性[じょせい]の 比率[ひりつ]が 低[ひく]い。	
V0000335179	この絵は赤と黒の対比が美しいですね。	対比	この 絵[え]は 赤[あか]と 黒[くろ]の 対比[たいひ]が 美[うつく]しいですね。	
V0000335180	彼女は二人の顔を見比べたの。	見比べる	彼女[かのじょ]は 二人[ふたり]の 顔[かお]を 見比[みくら]べたの。	
